clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl206_i23_Dmrt2_Sst,0.597014925,11733,3,15,8,3,Cdh9,Cox6a2,Spon1,nan,nan,nan,cl206_i23_Dmrt2_Sst&Cdh9>=9.38463020324707&Cox6a2>=3.5339207649230957&Spon1>=8.403261184692383
cl207_i23_Phf8_Sst,0.704225352,11734,2,13,10,3,Klf5,Pcdh8,Sst,nan,nan,nan,cl207_i23_Phf8_Sst&Klf5>=7.942168235778809&Pcdh8>=9.116458892822266&Sst>=7.488614559173584
cl209_e22_Nphs1_L6_IT,0.478723404,11728,9,13,9,5,Hs3st2,Nptx2,Penk,Ptgs2,Tnfaip6,nan,cl209_e22_Nphs1_L6_IT&Hs3st2>=7.513923645019531&Nptx2>=7.544632911682129&Penk>=4.753141403198242&Ptgs2>=7.0437211990356445&Tnfaip6>=1.0749849081039429
cl20_e142_Rap2a_L5_PT,0.713213213,11581,36,47,95,4,Col6a1,Crym,Etv1,Gm34583,nan,nan,cl20_e142_Rap2a_L5_PT&Col6a1>=3.881023406982422&Crym>=5.996095657348633&Etv1>=6.859404563903809&Gm34583>=6.144951820373535
cl210_e22_Spaca6_L23_IT,0.595238095,11737,0,17,5,3,Hpcal1,Itpka,Nrgn,nan,nan,nan,cl210_e22_Spaca6_L23_IT&Hpcal1>=6.880090713500977&Itpka>=8.963777542114258&Nrgn>=11.612565994262695
cl211_e22_Ascl5_L23_IT,0.487804878,11730,7,14,8,4,Itpka,Ptk2b,Reln,Rgs4,nan,nan,cl211_e22_Ascl5_L23_IT&Itpka>=9.050107955932617&Ptk2b>=9.892757415771484&Reln>=4.542943477630615&Rgs4>=10.325285911560059
cl212_i22_Cemip_Pvalb,0.487804878,11730,7,14,8,5,Cox6a2,Kcnip1,Pvalb,Sema5a,Vstm2b,nan,cl212_i22_Cemip_Pvalb&Cox6a2>=8.792553901672363&Kcnip1>=8.120365142822266&Pvalb>=11.02426528930664&Sema5a>=0.8304153680801392&Vstm2b>=6.901209831237793
cl213_i22_Dnhd1_Pvalb,0.186567164,11714,23,17,5,4,Cplx1,Kcnip2,Mafb,Slc6a1,nan,nan,cl213_i22_Dnhd1_Pvalb&Cplx1>=11.165977478027344&Kcnip2>=8.645357131958008&Mafb>=7.375391483306885&Slc6a1>=9.676480293273926
cl214_e22_Rttn_L6_CT,0.689655172,11736,1,14,8,3,Etv1,Garnl3,Ldb2,nan,nan,nan,cl214_e22_Rttn_L6_CT&Etv1>=6.538176536560059&Garnl3>=7.972188949584961&Ldb2>=8.839616775512695
cl217_e22_Dnah14_L6_IT,0.833333333,11736,1,9,13,4,Hpcal1,Plcxd3,Sema3e,Tnfaip6,nan,nan,cl217_e22_Dnah14_L6_IT&Hpcal1>=7.770922660827637&Plcxd3>=6.964109420776367&Sema3e>=6.692005634307861&Tnfaip6>=5.9918365478515625
cl218_e22_P4ha3_L6_IT,0.740740741,11737,0,14,8,3,Cd24a,Hpcal1,Slc17a7,nan,nan,nan,cl218_e22_P4ha3_L6_IT&Cd24a>=5.651938438415527&Hpcal1>=7.304376602172852&Slc17a7>=10.472858428955078
cl219_n22_Pdzph1_Astro,0.333333333,11726,11,16,6,5,Aldoc,Gja1,Htra1,Nfib,Thrsp,nan,cl219_n22_Pdzph1_Astro&Aldoc>=12.313681602478027&Gja1>=9.805551528930664&Htra1>=11.566875457763672&Nfib>=8.223199844360352&Thrsp>=9.275863647460938
cl21_i137_Thumpd2_Sst,0.74610245,11611,11,70,67,5,Cdh9,Gpr83,Lgals1,Nek7,Sst,nan,cl21_i137_Thumpd2_Sst&Cdh9>=7.666220664978027&Gpr83>=6.774566650390625&Lgals1>=10.246916770935059&Nek7>=7.200351715087891&Sst>=11.936161994934082
cl221_i22_NA_Vip,0.471698113,11726,11,12,10,5,Cbln2,Gsta4,Igfbp4,Mgat4c,Penk,nan,cl221_i22_NA_Vip&Cbln2>=7.883941650390625&Gsta4>=6.671436786651611&Igfbp4>=0.6531537771224976&Mgat4c>=5.715845108032227&Penk>=12.356417655944824
cl223_i22_Rxfp3_Sst,0.757575758,11736,1,12,10,2,Kcnab1,Pcdh8,nan,nan,nan,nan,cl223_i22_Rxfp3_Sst&Kcnab1>=9.388677597045898&Pcdh8>=9.064876556396484
cl226_e21_TrnL1_L23_IT,0.342465753,11730,8,16,5,2,Atp2b4,Neurod1,nan,nan,nan,nan,cl226_e21_TrnL1_L23_IT&Atp2b4>=8.708678245544434&Neurod1>=6.746415615081787
cl227_i21_Pla2g4e_Lamp5,0.23255814,11717,21,15,6,3,Dner,Lamp5,Nfib,nan,nan,nan,cl227_i21_Pla2g4e_Lamp5&Dner>=10.707223892211914&Lamp5>=11.516945838928223&Nfib>=8.73010540008545
cl228_e21_Rev1_L6_CT,0.615384615,11735,3,13,8,4,Crym,Mgat4c,Neurod6,Prss23,nan,nan,cl228_e21_Rev1_L6_CT&Crym>=8.149497985839844&Mgat4c>=7.255052089691162&Neurod6>=9.088329315185547&Prss23>=5.982895851135254
cl22_i134_Esrrg_Pvalb,0.340646651,11501,124,75,59,5,Cox6a2,Kcnip2,Luzp2,Phlda1,Sema5a,nan,cl22_i134_Esrrg_Pvalb&Cox6a2>=8.271463394165039&Kcnip2>=7.145572662353516&Luzp2>=7.79373025894165&Phlda1>=7.145926475524902&Sema5a>=1.0338985919952393
cl230_i21_Brca2_Pvalb,0.4,11722,16,11,10,4,Cort,Cox6a2,Lgals1,Ptn,nan,nan,cl230_i21_Brca2_Pvalb&Cort>=9.352338790893555&Cox6a2>=8.074070930480957&Lgals1>=8.83160400390625&Ptn>=5.162732124328613
cl231_i21_Gramd1c_Vip,0.405405405,11737,1,18,3,3,Pcdh15,Ptprk,Synpr,nan,nan,nan,cl231_i21_Gramd1c_Vip&Pcdh15>=7.878704071044922&Ptprk>=4.476381301879883&Synpr>=12.30142593383789
cl232_i21_Spc25_Sst,0.666666667,11738,0,15,6,4,Lypd6,Spon1,Sst,St6galnac5,nan,nan,cl232_i21_Spc25_Sst&Lypd6>=9.171609878540039&Spon1>=9.279152870178223&Sst>=13.754295349121094&St6galnac5>=6.72048807144165
cl233_i21_Grem2_Lamp5,0.24,11718,20,15,6,3,Kit,Luzp2,Sema3e,nan,nan,nan,cl233_i21_Grem2_Lamp5&Kit>=10.564483642578125&Luzp2>=8.352107048034668&Sema3e>=8.767762184143066
cl234_i21_Srd5a1_Lamp5,0.526315789,11735,3,15,6,3,Grik1,Kit,Nxph1,nan,nan,nan,cl234_i21_Srd5a1_Lamp5&Grik1>=8.329792022705078&Kit>=10.302154541015625&Nxph1>=10.773130416870117
cl236_e21_Arg2_L5_NP,0.566037736,11736,2,15,6,4,Ctgf,Diras2,Etv1,Fezf2,nan,nan,cl236_e21_Arg2_L5_NP&Ctgf>=5.614834785461426&Diras2>=9.690933227539062&Etv1>=9.149748802185059&Fezf2>=9.21646785736084
cl238_i20_Cldn1_Lamp5,0.416666667,11728,11,12,8,4,Cplx3,Dlx6os1,Gad1,Reln,nan,nan,cl238_i20_Cldn1_Lamp5&Cplx3>=9.103294372558594&Dlx6os1>=9.27973747253418&Gad1>=12.943588256835938&Reln>=9.197404861450195
cl239_i20_Casp9_Pvalb,0.340909091,11736,3,17,3,3,Ank1,Cplx1,Neto2,nan,nan,nan,cl239_i20_Casp9_Pvalb&Ank1>=5.749905586242676&Cplx1>=11.576347351074219&Neto2>=9.01026725769043
cl23_i132_Myh13_Sst,0.807086614,11615,12,50,82,2,Chrna2,Podxl2,nan,nan,nan,nan,cl23_i132_Myh13_Sst&Chrna2>=4.734744071960449&Podxl2>=8.96330451965332
cl240_i20_Sall1_Vip,0.568181818,11738,1,15,5,3,Cd24a,Gpd1,Rprm,nan,nan,nan,cl240_i20_Sall1_Vip&Cd24a>=10.434101104736328&Gpd1>=8.788848876953125&Rprm>=7.871377944946289
cl241_i20_Fv1_Pvalb,0.8125,11737,2,7,13,5,Gpr83,Lypd6,Pcdh17,Prss23,Sema3e,nan,cl241_i20_Fv1_Pvalb&Gpr83>=8.078508377075195&Lypd6>=7.181780815124512&Pcdh17>=7.149584770202637&Prss23>=8.94040298461914&Sema3e>=2.9313302040100098
cl242_i19_Emilin2_Sst,0.697674419,11740,0,13,6,3,Ldb2,Lypd6,Timp2,nan,nan,nan,cl242_i19_Emilin2_Sst&Ldb2>=6.640340805053711&Lypd6>=9.066709518432617&Timp2>=9.831408500671387
cl246_i20_Igsf1_Sst,0.486111111,11733,6,13,7,3,Klf5,Reln,Synpr,nan,nan,nan,cl246_i20_Igsf1_Sst&Klf5>=6.9586687088012695&Reln>=9.582284927368164&Synpr>=11.554362297058105
cl247_e20_Pah_L5_IT,0.859375,11739,0,9,11,5,Car4,Jam2,Nefl,Pamr1,Slc17a7,nan,cl247_e20_Pah_L5_IT&Car4>=7.698990821838379&Jam2>=2.8081812858581543&Nefl>=8.956823348999023&Pamr1>=8.53090763092041&Slc17a7>=9.51858139038086
cl248_i20_Lsmem1_Sst,0.4,11727,12,12,8,4,Calb1,Mafb,Ptprt,Thsd7a,nan,nan,cl248_i20_Lsmem1_Sst&Calb1>=11.684971809387207&Mafb>=6.961249828338623&Ptprt>=8.126062393188477&Thsd7a>=7.720364570617676
cl249_i20_Tacr3_Sst,0.588235294,11735,4,12,8,3,Cort,Klf5,Prss23,nan,nan,nan,cl249_i20_Tacr3_Sst&Cort>=8.5482177734375&Klf5>=7.478365898132324&Prss23>=6.556922435760498
cl26_i124_Ccser1_Vip,0.484693878,11606,29,86,38,3,Grm8,Rgs12,Thsd7a,nan,nan,nan,cl26_i124_Ccser1_Vip&Grm8>=7.572932243347168&Rgs12>=7.5463457107543945&Thsd7a>=8.048357009887695
cl27_e121_Gadd45a_L6_CT,0.464052288,11548,90,50,71,5,Crym,Lamp5,Meis2,Myl4,Rprm,nan,cl27_e121_Gadd45a_L6_CT&Crym>=7.604229927062988&Lamp5>=7.423573970794678&Meis2>=5.791193962097168&Myl4>=6.432886123657227&Rprm>=6.743473052978516
cl29_i121_Acbd7_Sst,0.823045267,11606,32,1,120,2,Chodl,Nos1,nan,nan,nan,nan,cl29_i121_Acbd7_Sst&Chodl>=7.888156890869141&Nos1>=8.97945785522461
cl2_e381_Rgs2_L6_IT,0.615920976,11255,123,169,212,5,Bdnf,Blnk,Penk,Plekha2,Rasl10a,nan,cl2_e381_Rgs2_L6_IT&Bdnf>=5.618049144744873&Blnk>=6.6732635498046875&Penk>=5.495556831359863&Plekha2>=2.487474203109741&Rasl10a>=7.056291103363037
cl32_n118_Opalin_Oligo,0.987544484,11641,0,7,111,2,Apod,Plp1,nan,nan,nan,nan,cl32_n118_Opalin_Oligo&Apod>=9.989238739013672&Plp1>=13.758590698242188
cl34_i116_Nr2e1_Vip,0.676691729,11611,32,44,72,4,Grin3a,Nptx2,Rgs12,Sema3c,nan,nan,cl34_i116_Nr2e1_Vip&Grin3a>=7.362204551696777&Nptx2>=5.066433906555176&Rgs12>=7.869584083557129&Sema3c>=8.819156646728516
cl35_i106_Bcl9_Sst,0.711610487,11622,31,30,76,3,Reln,Sst,Thsd7a,nan,nan,nan,cl35_i106_Bcl9_Sst&Reln>=6.649615287780762&Sst>=13.006893157958984&Thsd7a>=7.860321998596191
cl36_i104_Rspo4_Vip,0.447635135,11586,69,51,53,3,Ptprz1,Rspo1,Vip,nan,nan,nan,cl36_i104_Rspo4_Vip&Ptprz1>=7.272061824798584&Rspo1>=0.6742558479309082&Vip>=13.204237937927246
cl37_e104_Mapk13_L6b,0.808823529,11645,10,38,66,3,Ctgf,Gpr88,Nr4a2,nan,nan,nan,cl37_e104_Mapk13_L6b&Ctgf>=9.501227378845215&Gpr88>=1.0181629657745361&Nr4a2>=8.312098503112793
